"","< 1 person / sq. mile","1-5 persons / sq. mile","5.1-25 persons/ sq. mile","26-100 persons  / sq. mile","100 persons / sq. mile"
"no hybrids",31,8,12,9,11
"hybrids",26,16,16,26,29
